rep,mes,mk1,mk2,mk3,mk4,mutr,muta,mut_sp1,mut_sp2
0,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,1.41754e-07,8.98432e-07
1,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,2.20016e-07,7.9405e-07
2,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,1.24603e-07,1.57363e-07
3,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,5.96832e-07,4.93958e-07
4,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,9.23837e-07,3.00076e-07
5,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,6.43947e-07,2.57363e-07
6,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,1.2557e-07,4.82201e-07
7,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,3.00483e-07,6.59088e-07
8,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,1.11254e-07,1.27914e-07
9,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,9.60012e-07,7.13691e-07
10,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,3.99298e-07,7.55974e-07
11,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,1.19257e-07,4.9686e-07
12,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,6.10674e-07,7.70404e-07
13,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,8.6806e-07,6.04343e-07
14,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,2.10229e-07,7.66877e-07
15,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,8.86826e-07,7.0925e-07
16,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,1.64465e-07,6.4994e-07
17,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,4.62808e-07,8.65816e-07
18,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,8.14119e-07,3.16537e-07
19,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,9.98722e-07,9.42382e-07
20,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,4.59473e-07,4.44182e-07
21,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,1.03823e-07,4.01406e-07
22,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,3.43597e-07,5.58878e-07
23,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,7.59843e-07,4.69031e-07
24,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,9.8516e-07,9.07254e-07
25,1,0.25,0.25,0.25,0.25,0.05,5.0e-06,6.16171e-07,6.49519e-07
